rank,college,city_state,overall,outcome,resources,engagement,environment,right_choice,salary,default_rate,class
123,Babson College,"Wellesley, MA",65.8,28.7,15.7,15.2,6.2,8.17,84000,5,Private
125,Illinois Institute of Technology,"Chicago, IL",65.7,26.2,17.4,14.1,8,6.35,69000,2.1,Private
125,Pennsylvania State University,"University Park, PA",65.7,25.4,17.9,17,5.4,8.86,48000,4.9,Public
127,Seattle University,"Seattle, WA",65.6,23.5,18.5,16.4,7.3,7.7,56000,1.7,Private
128,Loyola Marymount University,"Los Angeles, CA",65.5,22.2,19.3,16.7,7.4,8.65,55000,1.7,Private
128,Allegheny College,"Meadville, PA",65.5,24.9,20.6,15.5,4.4,7.72,49000,2.8,Private
130,Furman University,"Greenville, SC",65.4,26.2,20.4,16.2,2.7,7.97,47000,3.1,Private
130,Stevens Institute of Technology,"Hoboken, NJ",65.4,26.3,19.8,14.4,4.9,7.75,83000,1.5,Private
130,Reed College,"Portland, OR",65.4,23,23,14.2,5.2,8.14,36000,3.3,Private
130,Rochester Institute of Technology,"Rochester, NY",65.4,25.2,18,17,5.2,8.16,58000,3.1,Private
134,Creighton University,"Omaha, NE",65.2,23.9,21.2,16.7,3.5,8.5,57000,1.4,Private
